Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Ashish,2020-11-16 08:49:11,00:09:55,,Marvel's Agents of S.H.I.E.L.D.: Season 2: Ye Who Enter Here (Episode 9),,Netflix Chrome Linux (Cadmium) HTML 5,00:10:45,00:10:45,US (United States)
Ashish,2020-11-16 08:05:15,00:41:45,,Marvel's Agents of S.H.I.E.L.D.: Season 2: The Things We Bury (Episode 8),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:32,00:42:32,US (United States)
Ashish,2020-11-16 07:41:51,00:23:23,,Marvel's Agents of S.H.I.E.L.D.: Season 2: The Writing on the Wall (Episode 7),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:10,00:42:10,US (United States)
Ashish,2020-11-15 23:41:57,00:17:49,Autoplayed: user action: None; ,Marvel's Agents of S.H.I.E.L.D.: Season 2: The Writing on the Wall (Episode 7),,Netflix Chrome Linux (Cadmium) HTML 5,00:18:47,Not latest view,US (United States)
Ashish,2020-11-15 23:06:34,00:35:22,,Marvel's Agents of S.H.I.E.L.D.: Season 2: A Fractured House (Episode 6),,Netflix Chrome Linux (Cadmium) HTML 5,00:41:22,00:41:22,US (United States)
Ashish,2020-11-15 23:06:04,00:00:25,Autoplayed: user action: None; ,Season 4 Trailer: The Crown,TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:25,00:00:25,US (United States)
Ashish,2020-11-15 13:53:21,00:05:16,Autoplayed: user action: None; ,Marvel's Agents of S.H.I.E.L.D.: Season 2: A Fractured House (Episode 6),,Netflix Chrome Linux (Cadmium) HTML 5,00:06:00,Not latest view,US (United States)
Ashish,2020-11-15 13:22:56,00:30:24,,Marvel's Agents of S.H.I.E.L.D.: Season 2: A Hen in the Wolf House (Episode 5),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:36,00:42:36,US (United States)
Ashish,2020-11-15 13:22:46,00:00:04,Autoplayed: user action: None; ,Resurrection: Ertuğrul: Season 1_hook_primary_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:04,00:00:04,US (United States)
Ashish,2020-11-14 23:46:49,00:11:27,,Marvel's Agents of S.H.I.E.L.D.: Season 2: A Hen in the Wolf House (Episode 5),,Netflix Chrome Linux (Cadmium) HTML 5,00:12:12,Not latest view,US (United States)
Ashish,2020-11-14 23:06:22,00:40:26,,Marvel's Agents of S.H.I.E.L.D.: Season 2: Face My Enemy (Episode 4),,Netflix Chrome Linux (Cadmium) HTML 5,00:41:22,00:41:22,US (United States)
Ashish,2020-11-14 22:45:51,00:20:31,,Marvel's Agents of S.H.I.E.L.D.: Season 2: Making Friends and Influencing People (Episode 3),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:34,00:42:34,US (United States)
Ashish,2020-11-14 10:00:01,00:16:01,,Marvel's Agents of S.H.I.E.L.D.: Season 2: Making Friends and Influencing People (Episode 3),,Netflix Chrome Linux (Cadmium) HTML 5,00:22:03,Not latest view,US (United States)
Ashish,2020-11-14 00:04:10,00:05:22,Autoplayed: user action: None; ,Marvel's Agents of S.H.I.E.L.D.: Season 2: Making Friends and Influencing People (Episode 3),,Netflix Chrome Linux (Cadmium) HTML 5,00:06:02,Not latest view,US (United States)
Ashish,2020-11-13 23:40:15,00:23:55,,Marvel's Agents of S.H.I.E.L.D.: Season 2: Heavy Is the Head (Episode 2),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:34,00:42:34,US (United States)
Ashish,2020-11-13 23:39:28,00:00:42,Autoplayed: user action: None; ,American Horror Story: Cult_hook_04_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:42,00:00:42,US (United States)
Ashish,2020-11-13 10:21:39,00:17:46,,Marvel's Agents of S.H.I.E.L.D.: Season 2: Heavy Is the Head (Episode 2),,Netflix Chrome Linux (Cadmium) HTML 5,00:18:39,Not latest view,US (United States)
Ashish,2020-11-13 10:06:27,00:15:11,,Marvel's Agents of S.H.I.E.L.D.: Season 2: Shadows (Episode 1),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:31,00:42:31,US (United States)
Ashish,2020-11-13 07:41:23,00:26:14,Autoplayed: user action: None; ,Marvel's Agents of S.H.I.E.L.D.: Season 2: Shadows (Episode 1),,Netflix Chrome Linux (Cadmium) HTML 5,00:27:20,Not latest view,US (United States)
Ashish,2020-11-13 06:59:36,00:41:46,,Marvel's Agents of S.H.I.E.L.D.: Season 1: Beginning of the End (Episode 22),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:32,00:42:32,US (United States)
Ashish,2020-11-13 06:44:10,00:15:25,,Marvel's Agents of S.H.I.E.L.D.: Season 1: Ragtag (Episode 21),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:30,00:42:30,US (United States)
Ashish,2020-11-13 06:43:47,00:00:20,Autoplayed: user action: None; ,Trailer: Ludo,TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:20,00:00:20,US (United States)
Ashish,2020-11-13 02:24:29,00:03:55,,Marvel's Agents of S.H.I.E.L.D.: Season 1: Ragtag (Episode 21),,Netflix Chrome Linux (Cadmium) HTML 5,00:27:05,Not latest view,US (United States)
Ashish,2020-11-12 22:21:30,00:15:31,,Marvel's Agents of S.H.I.E.L.D.: Season 1: Ragtag (Episode 21),,Netflix Chrome Linux (Cadmium) HTML 5,00:23:10,Not latest view,US (United States)
Ashish,2020-11-12 22:20:46,00:00:34,Autoplayed: user action: None; ,THELIBERATOR_S1_CLIP_PLOT,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:00,00:00:00,US (United States)
Ashish,2020-11-12 11:38:22,00:07:03,,Marvel's Agents of S.H.I.E.L.D.: Season 1: Ragtag (Episode 21),,Netflix Chrome Linux (Cadmium) HTML 5,00:07:39,Not latest view,US (United States)
Ashish,2020-11-12 10:56:44,00:41:38,,Marvel's Agents of S.H.I.E.L.D.: Season 1: Nothing Personal (Episode 20),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:30,00:42:30,US (United States)
Ashish,2020-11-12 10:25:59,00:30:44,,Marvel's Agents of S.H.I.E.L.D.: Season 1: The Only Light in the Darkness (Episode 19),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:29,00:42:29,US (United States)
Ashish,2020-11-12 06:58:13,00:03:48,,Marvel's Agents of S.H.I.E.L.D.: Season 1: The Only Light in the Darkness (Episode 19),,Netflix Chrome Linux (Cadmium) HTML 5,00:11:45,Not latest view,US (United States)
Ashish,2020-11-12 04:13:06,00:07:03,Autoplayed: user action: None; ,Marvel's Agents of S.H.I.E.L.D.: Season 1: The Only Light in the Darkness (Episode 19),,Netflix Chrome Linux (Cadmium) HTML 5,00:07:57,Not latest view,US (United States)
Ashish,2020-11-12 03:31:12,00:41:54,,Marvel's Agents of S.H.I.E.L.D.: Season 1: Providence (Episode 18),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:38,00:42:38,US (United States)
Ashish,2020-11-12 02:49:28,00:41:43,,"Marvel's Agents of S.H.I.E.L.D.: Season 1: Turn, Turn, Turn (Episode 17)",,Netflix Chrome Linux (Cadmium) HTML 5,00:42:33,00:42:33,US (United States)
Ashish,2020-11-12 02:32:10,00:17:17,,Marvel's Agents of S.H.I.E.L.D.: Season 1: End of the Beginning (Episode 16),,Netflix Chrome Linux (Cadmium) HTML 5,00:40:44,00:40:44,US (United States)
Ashish,2020-11-12 02:31:31,00:00:35,Autoplayed: user action: None; ,Season 1 Trailer 2: The Stranded,TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:35,00:00:35,US (United States)
